Type kjøretøy,Merke,Modell,Årsmodell,Feiltype,Symptomkategori,Symptom (valg),Kommentar,Løsning,Symptomdetalj (manuell),Feilkode,Generell feil,Mitt kjøretøy,Ytterligere symptomdetaljer,Link til kilde
Bil,Hoie44,F1,2017,Drivverk,Drivlinje,"Drivlinje, ulyd",Ulyd ved kjøring i sving,Bytt hjullager,,,,,,
Skurtresker,Claas,Avero 240,2010,Elektrisk,Varsellampe / feilkode,"Hydraulikk, virker ikke",Fikk ikke løftet skjærebord. Fikk ikke kjørt noen hydrauliske funksjoner til skjærebord.,"Skiftet begge styreenheter til skjærebord under passasjersete. Den ene var til avvatring, den andre til hydraulikk.",Skjærebord gikk kun ned,ID0251 ID0252,,,,
Bil,Kia,Niro hybrid ,2017,Elektrisk,Klima-feil,"Klima, ingen kjøling","Km. stand 130000. Lett å bytte, tre stjerneskruer.","Byttet viftemotor. Montert ved handskerom, venstre side.",,,,,,
Bil,Kia,Niro hybrid ,2017,Elektrisk,Visuelt,Feil på lys,"Litt knot, må av med innedelen av bakluka.",Bytt lampe.,Enkelte dioder i bremselyset tennes ikke.,,,,,
Bil,Kia,Niro hybrid ,2017,Bremser,Bremsefeil,Dårlig brems,"Brems høyre bak ligger på. Fører til varmegang, stor slitasje og økt drivstofforbruk.",Km stand 160000. Fri opp glidere og bytt stemplet og pakninger. Repsett. ,,,true,,,
Bil,Kia,Niro hybrid ,2017,Motor,Motorfeil,"Motor, dårlig effekt",Går ujevnt og lugger litt i noen hastigheter. Andre hastigheter merkes ikke noe. Blir gradvis verre. ,Bytt tennplugger. ,,,true,,,
Bil,Kia,Niro hybrid ,2017,Hjul,Visuell feil,Unormal slitasje,Sliter dekk på innsiden,4-hjulskontroll,,,true,,,
Skurtresker,Claas,Avero 240,2011,Hydraulisk,Røyk,Røyk,La merke til svarte røykskyer fra bakpart. Ingen andre symptomer. Åpnet sidedeksel venstre side og så stor lekkasje. Oljen kom fra hydraulikkpumpe. Var en syltynn sprut som nesten var umulig å se.,Skifte O-ring på liten skrue inn i pumpa.,Svarte røykskyer,,,,,
Skurtresker,Claas,Avero 240,2011,Skjærebord,Bevegelse/rotasjons-feil,"Hydraulikk, virker ikke",Klappbord 450. Vinde går ikke synkront frem og tilbake.,Sylindre luftes ved å kjøre vinde helt bak og holde inne noen sekunder.,"Hydraulikk, ujevn bevegelse",,,,,
Bil,Audi,A4,2006,Drivstoffsystem,Motorfeil,"Motor, stopper",Motor stopper etter litt kjøring,Tanklokk hadde ikke lufting som gjorde at det ble vakuum i tanken,"Motor, stopper",,true,,,
Motorsykkel,44Hoie,F1 70,2023,Styring og oppheng,Styring,"Styring, risting",Begynner å riste i rattet ved ca 70km/t.,Avbalanser framhjul,Rister i rattet f.o.m 70 km/t.,,true,true,true,
Traktor,Deutz Fahr,K410,2010,Elektroniske styresystemer,Varsellampe / feilkode,"Varsellampe, feilkode",Potmeter for løftearmer fungerte ikke,Nytt potmeter-kort. Kan også lodde som på bildet om feilen er på kortet.,Control Height Set Grounding Short Circuit feilmelding,Control Height Set Grounding Short Circuit feilmelding,,,true,https://www.facebook.com/share/p/1ThDSYFrfx/?mibextid=wwXIfr
Traktor,Valtra,"6x50, C, N ",2008,Elektroniske styresystemer,Varsellampe / feilkode,,Kommer etter en stund ,"Feilen var tuning-boks / power-boks for trimming / effektøkning. Feilkode sier feil på kommunikasjon til dieselpumpe. Fjernet power-boksen, alt ok.",,C297 og F284,,,,
Traktor,Valtra,A95,2007,Elektrisk,Varsellampe / feilkode,"Hydraulikk, virker ikke",Går ikke å bruke løftearmene bak. AC-verdi på dashbord (instrument) viser høyde 0 hele tiden.,"Sjekk eller bytt giver for høyde på løftearmer.
Feilkode 16 tyder på feil i strømforsyningen til hydraulikkens styreenhet.
Feilkode 22 tyder på feil på giveren som viser hvor høyt løftearmene står. Giver sitter oppå hydraulikkhuset, ved oljepåfyllingen. Sjekk kabel og kontakt/tilkobling. IKKE løsne giveren og skru den ut, uten å ha målt og merket opp hvor langt innden er skrudd. Hvis du skrur den giveren ut eller inn til en ny posisjon vil løftehøyden bli feil. Har den ene av de øvre løftearmene løsnet så hele akslingen har glidd sideveis så kan tuppen av giveren være skadet.
Den blanke kula på giverens tupp skal være lett å trykke inn.

Når du monterer den nye giveren igjen må du være nøye med å justere den inn slik at den ikke løfter for høyt. Hvis du løfter helt opp med Autocontrol bryteren så må ikke hydraulikken gå helt til topps og stå der og presse. Avbryt løftet så såvidt ikke får løst ut trekkroken.","Feillampe på autocontrol blinket rødt, kode 16 og 22",16 og 22,,,true,
Traktor,Valtra,"A, C, M, N, T",2011,Elektroniske styresystemer,Varsellampe / feilkode,,"Hydraulikkfeil, feilkode fra autocontrol",Se bilde for info,,11 12 13 14 15 16 22 23 24 28 31 32 34 36,,false,,
Traktor,Valtra,"A, C, M, N, T",2008,Elektroniske styresystemer,Varsellampe / feilkode,,Traktor flytter seg ikke,Skifte eller sjekke clutch sensor,,D215 D254,,false,,
Traktor,Valtra,"A, C, M, N, T",2009,Motor,Varsellampe / feilkode,,Mistet motorkraft,"Styreboksen var for varm, skrudde av tenning i mer enn 5 sekunder så var feilen borte. Se bilde for feilkode beskrivelse",Dårlig motorkraft trekkraft,E325 E252 E253 E260 E261 E270 E271 E272 E310 E315 E316 E326,,,true,
Traktor,John Deere,6220,2002,Interiør,Elektrisk feil,"Elektrisk, displayfeil","Ikke lys i instrument panel, turteller og hastighet. (Dashbord)","Byttet to små lyspærer, 4 skruer under instrumentpanel. Tok av glass, ut med den elektriske enheten. To små pærer på baksiden øverst høyre og venstre side. Sitter bak to små plast hylser som skrus av. 

NB! 4 skruer på baksiden bør strammes varsomt pga sprø plast. ",,,false,false,,
Bil,Toyota,Hiace,2010,Drivverk,Lyd,"Drivlinje, risting",Rumling og maling ved kjøring. Ble verre med hastighet.,Defekt mellomaksel-lager. Vanlig feil på disse.,Hørtes ut som et tog passerte av og til,,true,true,true,
Bil,Toyota,Hiace,2010,Elektrisk,Instrument,"Visuelt, generelt",Speedometer sluttet å fungere,Speedometer-sensor var defekt. Kjøpte ny fra aliexpress til 400kr mot over 4000kr fra Toyota!,,,true,true,false,
Bil,Volvo,V70,2013,Bremser,Styring,"Drivlinje, risting",Plutselig kunne bilen begynne å riste. Ristet verre ved bremsing. Kunne være bra en stund. Kom plutselig tilbake.,Brems hang på foran.,Sporadisk risting i ratt og hele bilen,,true,true,true,
Skurtresker,Claas,Avero 240,2010,Treskeverk,Visuell feil,"Visuelt, generelt",Mye spill fra tresker,Anbefaler å laste ned claas sin app som heter Advisor. Veldig bra hjelp ved justering av tresker. Funker til alle merker! Se link.,Mye spill eller uren vare i tank,,true,true,true,https://advisor-claas-kgaa-mbh.en.aptoide.com/app
Traktor,John Deere,6220,2002,Drivstoffsystem,Motorfeil,"Motor, dårlig effekt","Kom opp nordbyhælla i fint driv, merka et snev av lavere effekt enn vanlig. 

Mistenkte drivstoffsystemet, merka at elektrisk fødepumpe i tanken ikke lagde lyd når tenninga er på. Denne skal gå konstant når tenninga er på. Målte strøm i kontakt men ikke liv i pumpe når testa på eksternt batteri. 

Pumpe sitter på et stag ned i drivstofftank, (skru lokk) med tank måler på seg. Under en luke i gulvet på hytte. Under gulvmatte venstre side. ","Bytta fødepumpe, hører pumpe når tenning er på. ",Hørte ikke fødepumpe i tank med tenning på,,true,true,,
Traktor,Valtra,"A, C, M, N, T",2011,Elektrisk,Klima-feil,"Klima, ingen kjøling",Ingen kjøling. Gåen sikring.,"Dro fra hverandre kontakt ved AC-kompressor. Sikringen holdt, da er ikke feilen i selve kompressorkløtsjen.
Feilen var jordfeil / hull på ledningsisolasjon ved trykkbryter.",Sikring til AC gikk,,,false,true,
